L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V3_MAE_Acc,Scenario
40%,5,30,5C x 30K,40%,2,30,2C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,60%,5,18,5C x 18K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,60%,4,20,4C x 20K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,60%,4,22,4C x 22K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,60%,3,26,3C x 26K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,60%,3,28,3C x 28K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,60%,3,30,3C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,80%,5,24,5C x 24K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,80%,5,25,5C x 25K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,80%,5,26,5C x 26K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,80%,4,28,4C x 28K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,80%,4,29,4C x 29K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,80%,4,30,4C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,100%,5,30,5C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,100%,5,30,5C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,100%,5,30,5C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,100%,5,30,5C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,100%,5,30,5C x 30K,0.0,100.0,Custom_Simulation
40%,5,30,5C x 30K,100%,5,30,5C x 30K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,20%,4,7,4C x 7K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,20%,3,11,3C x 11K,0.0,100.0,Custom_Simulation
40%,4,38,4C x 38K,20%,2,15,2C x 15K,0.0,0.0,Custom_Simulation
